emp_no,first_name,last_name,birth_date,title,salary
40000,Nishit,Asser,1953-12-17,Technique Leader,40000
40004,Anneke,Stiles,1955-09-09,Senior Engineer,40004
40008,Yucai,Nittel,1955-02-21,Senior Staff,40008
40010,Mingdong,Ferriere,1952-08-22,Engineer,40010
40011,Kazuyasu,Stafford,1952-04-28,Engineer,40011
40012,Chinhyun,Ozeri,1955-02-07,Staff,40012
40014,Maha,Meriste,1954-01-15,Technique Leader,40014
40018,Yongmao,Beidas,1955-10-28,Engineer,40018
40019,Katsuo,Rodham,1953-10-15,Senior Staff,40019
40021,Parto,Delgrande,1955-03-08,Engineer,40021
40022,Duro,Bashian,1955-04-11,Senior Staff,40022
40023,Ortrun,Asmuth,1955-01-11,Engineer,40023
40025,Insup,Isard,1952-08-13,Technique Leader,40025
40026,Pramod,Masada,1954-07-27,Senior Staff,40026
40028,Wuxu,Hofman,1954-03-24,Technique Leader,40028
40029,Aruna,Braccini,1953-02-04,Senior Staff,40029
40035,Anyuan,Kleiser,1953-04-29,Senior Staff,40035
40041,Lijia,Gimarc,1955-12-17,Staff,40041
40045,Hairong,Czap,1952-12-22,Senior Staff,40045
40047,Mara,Trogemann,1953-07-11,Staff,40047
40048,Makato,Cardazo,1954-08-04,Staff,40048
40052,Fay,Sichman,1954-12-13,Senior Staff,40052
40057,Ghassan,Kalloufi,1952-09-28,Senior Staff,40057
40070,Arco,Schade,1953-03-07,Senior Staff,40070
40072,Morrie,Cmelik,1952-07-20,Senior Engineer,40072
40073,Iara,Laventhal,1952-07-21,Senior Engineer,40073
40075,Geoff,Kropatsch,1955-01-18,Engineer,40075
40087,Vesna,Huttel,1952-11-27,Senior Engineer,40087
40096,Chanjung,Piazza,1955-06-20,Staff,40096
40103,Arvin,DasSarma,1953-07-20,Senior Staff,40103
40106,Zdislav,Mukaidono,1954-05-30,Senior Staff,40106
40110,Leucio,Choobineh,1954-01-18,Staff,40110
40113,Rosine,Wissmann,1952-03-23,Senior Staff,40113
40118,Fen,Uludag,1953-05-05,Engineer,40118
40119,Rildo,Farrow,1952-05-19,Engineer,40119
40122,Chinya,McConalogue,1955-10-21,Engineer,40122
40127,Kauko,Callaway,1955-03-19,Senior Staff,40127
40129,Divine,Pardalos,1952-12-13,Engineer,40129
40131,Moti,Asser,1955-08-26,Senior Engineer,40131
40134,Caolyn,Brlek,1953-02-25,Technique Leader,40134
40137,Conal,Sambasivam,1952-06-07,Engineer,40137
40144,Uta,Leslie,1952-10-21,Senior Staff,40144
40147,Padma,Gaughan,1955-04-07,Senior Staff,40147
40148,Yucai,Solares,1954-03-14,Staff,40148
40150,Weiyi,Cusworth,1952-05-05,Engineer,40150
40156,Dhritiman,Cooman,1953-05-28,Senior Staff,40156
40158,Ebbe,Penn,1954-02-20,Technique Leader,40158
40161,Premsyl,Guardalben,1955-06-26,Engineer,40161
40165,Cathie,Unni,1952-02-08,Staff,40165
40168,Miquel,Frezza,1954-01-29,Senior Staff,40168
40169,Remco,Isaac,1955-01-15,Senior Staff,40169
40174,Bernd,Billawala,1955-05-04,Engineer,40174
40177,Wilmer,Fortenbacher,1953-10-10,Staff,40177
40182,Eran,Pepe,1955-04-11,Senior Engineer,40182
40185,Miyeon,Garnick,1953-07-06,Engineer,40185
40188,Mansur,Serot,1953-03-24,Staff,40188
40196,Emdad,Kalorkoti,1953-01-21,Staff,40196
40203,Rasikan,Pokrovskii,1952-06-21,Assistant Engineer,40203
40204,Divine,Portugali,1952-10-28,Technique Leader,40204
40205,Genevieve,Provine,1955-03-17,Engineer,40205
40217,Padma,Shokrollahi,1955-12-10,Senior Staff,40217
40225,Shakhar,Schieder,1955-08-25,Senior Staff,40225
40226,Hyuncheol,Benantar,1954-02-20,Senior Staff,40226
40229,Jamaludin,Sommen,1952-12-03,Staff,40229
40231,Huei,Weedon,1953-08-16,Engineer,40231
40232,Junsik,Chorvat,1954-06-04,Senior Engineer,40232
40238,Ekawit,Hopewell,1953-04-12,Staff,40238
40240,Frederique,Tokunaga,1953-03-03,Staff,40240
40244,Saniya,Janetzko,1953-01-16,Assistant Engineer,40244
40245,Yucai,Bael,1955-04-14,Senior Staff,40245
40246,Heng,Bugaenko,1955-04-21,Senior Engineer,40246
40250,Jamaludin,Birta,1952-10-31,Engineer,40250
40256,Abdelwaheb,Bernardeschi,1954-08-26,Staff,40256
40259,Mana,Hartvigsen,1954-02-22,Senior Staff,40259
40260,Shaowei,Hofman,1955-09-30,Engineer,40260
40262,Arunas,Heiserman,1952-09-20,Staff,40262
40266,Khaled,Driscoll,1955-04-12,Senior Staff,40266
40270,Dietrich,Shimshoni,1954-02-19,Staff,40270
40272,Taizo,Gonthier,1953-12-08,Technique Leader,40272
40273,Hugh,Levergood,1955-02-07,Engineer,40273
40274,Isaac,Skrikant,1955-08-10,Senior Engineer,40274
40279,Zissis,Honglei,1954-04-25,Senior Engineer,40279
40284,Giordano,Ranft,1953-09-29,Engineer,40284
40286,Ishfaq,Szilard,1955-06-07,Engineer,40286
40293,Herb,Schmiedel,1952-11-20,Staff,40293
40294,Ingemar,Kushner,1955-03-23,Senior Staff,40294
40313,Turgut,Staylopatis,1952-03-04,Engineer,40313
40315,Hideyuki,Honglei,1954-06-30,Senior Engineer,40315
40316,Gou,Conry,1954-01-17,Staff,40316
40317,Arvind,Rusterholz,1954-08-05,Engineer,40317
40318,Shin,Vingron,1953-01-09,Engineer,40318
40319,Lubomir,Diderrich,1953-02-15,Engineer,40319
40321,Hinrich,Ouhyoung,1952-07-31,Assistant Engineer,40321
40322,Charmane,Sankaranarayanan,1955-07-24,Senior Staff,40322
